ID,NAME,VERSION,DESCRIPTION,DOMAIN,AVAILABLE_FROM,STATUS,DISPLAY_TO_LEARNER,TARGET_DAYS,EXPIRY_TYPE,EXPIRE_IN_DAYS,NOTIFY_BEFORE_DAYS,ENFORCE_TARGET_DATE,ONE_CLICK_REG,PATH_NAME,MODULE_NAME,NO_OF_MODULE_ELEMENTS,MODULE_REQUIRED,COURSE_ELEMENT,COURSE_VERSION,ELEMENT_SEQUENCE,IS_RECERT_PATH,PAST_CREDIT_DAYS,PAST_CREDIT_POLICY,RECERTIFY_IN_DAYS
0,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Main,Main,12,True,FIRE-3011-WL,1.0,,0.0,365.0,1.0,90.0
1,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Main,Main,12,True,FIRE-3202-WL,1.0,,False,365.0,1.0,90.0
2,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Main,Main,12,True,FIRE-3017-WL,1.0,,False,365.0,1.0,90.0
3,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Main,Main,12,True,FIRE-3020-WL,1.0,,False,365.0,1.0,90.0
4,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Main,Main,12,True,FIRE-3021-WL,1.0,,False,365.0,1.0,90.0
5,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Main,Main,12,True,FIRE-3026-WL,1.0,,False,365.0,1.0,90.0
6,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Main,Main,12,True,FIRE-3022-WL,1.0,,False,365.0,1.0,90.0
7,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Main,Main,12,True,FIRE-3025-WL,1.0,,False,365.0,1.0,90.0
8,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Main,Main,12,True,FIRE-3203-WL,1.0,,False,365.0,1.0,90.0
9,Annual Job Performance Requirements,V1.0,This certification qualifies employees acting as Interior Firefighters in annual job performance tasks. Please note this certification has a  refresher requirement of 1 year. This certificate has no prerequisite.,Security Program,1900-01-01,in effect,False,42.0,1,365.0,90.0,,,Main,Main,12,True,FIRE-3023-WL,1.0,,False,365.0,1.0,90.0
