LEARNER,COURSE,COURSE_VERSION,COMPLETION_DATE,COMPLETION_STATUS,CREATE_ADHOC_COURSE,COURSE_TITLE,COURSE_GOOD,PERSON_GOOD,ID
58322,LGL-1003-ONLINE (REV 2.3),2.3,2021-02-01,200,FALSE,Values and Ethics at CNL (2.3),0.0,1.0,0
60772,900-510000-MCP-015,,2021-03-15,200,FALSE,Harassment and Violance Free Workplace,0.0,1.0,1
91621,LGL-1003-ONLINE,,2021-04-27,200,FALSE,Values and Ethics at CNL,0.0,1.0,2
54475,RP-G4-ONLINE (REV 2.5),2.5,2021-02-01,200,FALSE,Group 4 Radiation Protection (2.5),0.0,1.0,3
90145,OSH-5001,,2021-10-20,200,FALSE,Hazardous Energy Control MCP (Rev 1) – Briefing Package on Updates,0.0,1.0,4
53198,MS-3001-ONLINE (REV 1.1),1.1,2021-02-24,200,FALSE,Integrated Work Control Practical Applications Exam (1.1),0.0,1.0,5
20846,EMP-1037-ONLINE (REV 0.1),0.1,2022-01-13,200,FALSE,Emergency Procedure Refresher (0.1),0.0,1.0,6
91056,WL-202,,2021-11-16,200,FALSE,Respirator Fit Test,0.0,1.0,7
90474,LGL-1003-ONLINE (REV 2.5),2.5,2021-10-18,200,FALSE,Values and Ethics at CNL (2.5),0.0,1.0,8
90833,LGL-1003-ONLINE (REV 2.5),2.5,2021-04-16,200,FALSE,Values and Ethics at CNL (2.5),0.0,0.0,9
51607,OSH-9050-ONLINE (REV 1),1.0,2021-01-13,200,FALSE,Cost Course - Lead Awareness (1.0),0.0,1.0,10
61696,FIRE-1001-ONLINE (REV 4.4),4.4,2021-05-12,200,FALSE,Fire Prevention (4.4),0.0,1.0,11
20507,LGL-1003-ONLINE (REV 3.3),3.3,2022-02-24,200,FALSE,Values and Ethics at CNL (3.3),0.0,1.0,12
52423,OSH-1102-ONLINE (REV 1.1),1.1,2021-07-19,200,FALSE,Crystalline Silica Awareness Training: Part Two (1.1),0.0,1.0,13
CONT-2908,CNL-1010,1.0,2021-06-14,200,FALSE,CNL COVID-19 Pandemic Response,1.0,0.0,14
91383,OSH-1001-ONLINE (REV 1.2),1.2,2021-09-16,200,FALSE,Crane - Safe Indoor Hoist - Theory (1.2),0.0,1.0,15
57665,LGL-1003-ONLINE,,2021-02-11,200,FALSE,Values and Ethics at CNL,0.0,1.0,16
59530,FIRE-1001-ONLINE (REV 4.5),4.5,2021-06-21,200,FALSE,Fire Prevention (4.5),0.0,1.0,17
90833,EMP-1037-ONLINE (REV 0),0.0,2022-01-12,200,FALSE,Emergency Procedure Refresher (0.0),0.0,0.0,18
60893,LGL-1003-ONLINE (REV 2.3),2.3,2021-02-02,200,FALSE,Values and Ethics at CNL (2.3),0.0,1.0,19
92456,OSH-9099-ONLINE,,2021-11-11,200,FALSE,Being a Mindful Employee: An Orientation to Psychological Health and Safety in the Workplace,0.0,1.0,20
59146,OSH-5001,,2021-10-25,200,FALSE,Hazardous Energy Control MCP (Rev 1) – Briefing Package on Updates,0.0,1.0,21
91962,FD-1001-ONLINE (REV 1.1),1.1,2021-01-05,200,FALSE,Decommissioning Process Awareness Training for Employees (1.1),0.0,1.0,22
92114,FD-3001,1.0,2021-08-07,400,FALSE,Hand Power Tool Practical Training and Checkout,1.0,0.0,23
92566,OSH-1042-ONLINE (REV 12.5),12.5,2022-01-10,200,FALSE,WHMIS - 2015 (12.5),0.0,0.0,24
53513,FIN-1004-ONLINE (REV 1),1.0,2022-03-28,200,FALSE,Financial Delegation Of Authority (1.0),0.0,1.0,25
91296,LGL-1003-ONLINE,,2022-02-22,200,FALSE,Values and Ethics at CNL,0.0,1.0,26
CONT-3008,PROC-1021-ONLINE,1.0,2021-11-08,200,FALSE,Canadian Nuclear Laboratories  Supplier Code of Conduct,1.0,0.0,27
91157,FIRE-1001-ONLINE (REV 4.5),4.5,2022-03-01,200,FALSE,Fire Prevention (4.5),0.0,1.0,28
56677,OSH-9071-ONLINE (REV 1),1.0,2021-08-16,200,FALSE,Cost Course - Electrical Safety Introduction for Canada (1.0),0.0,1.0,29
59087,HR-1005,1.0,2021-11-01,400,FALSE,Virtual Mandatory Harassment and Violence Prevention Training,1.0,0.0,30
92667,TD-1018-ONLINE (REV 1.9),1.9,2022-02-28,200,FALSE,CNL General Safety Orientation (1.9),0.0,1.0,31
92129,CNL-1009-ONLINE (REV 1.2),1.2,2021-04-14,200,FALSE,Employee Formal Acknowledgement of CNL Executive Management Directive for COVID-19 and the Face Covering Policy (1.2),0.0,1.0,32
92377,RP-G4-ONLINE (REV 2.6),2.6,2021-09-07,200,FALSE,Group 4 Radiation Protection (2.6),0.0,1.0,33
57133,OSH-9070-ONLINE (REV 1),1.0,2022-01-10,400,FALSE,Cost Course - Arc Flash Safety for Canada (1.0),0.0,1.0,34
52490,SECU-1006-ONLINE (REV 2.4),2.4,2021-01-04,200,FALSE,Level 2 Security Clearance Awareness (2.4),0.0,1.0,35
54583,FIRE-1001-ONLINE (REV 4.5),4.5,2022-01-12,200,FALSE,Fire Prevention (4.5),0.0,1.0,36
91373,EMP-1037-ONLINE (REV 0),0.0,2022-01-12,200,FALSE,Emergency Procedure Refresher (0.0),0.0,1.0,37
92147,RP-G4-ONLINE (REV 2.6),2.6,2021-05-10,200,FALSE,Group 4 Radiation Protection (2.6),0.0,1.0,38
92588,OSH-9045-ONLINE,1.0,2022-01-13,200,FALSE,Hand Safety,1.0,0.0,39
C18112,RP-G4-ONLINE (REV 2.6),2.6,2021-06-23,200,FALSE,Group 4 Radiation Protection (2.6),0.0,0.0,40
61699,OSH-3001-L,,2022-01-10,200,FALSE,Crane - Safe Indoor Hoist - Practical - Hoist Only,0.0,1.0,41
91005,HR-9004,,2021-08-12,400,FALSE,Performance Management: Providing Effective Feedback,0.0,1.0,42
91209,CNL-1009-ONLINE (REV 1.2),1.2,2021-05-31,200,FALSE,Employee Formal Acknowledgement of CNL Executive Management Directive for COVID-19 and the Face Covering Policy (1.2),0.0,1.0,43
60766,FIRE-1001-ONLINE (REV 4.5),4.5,2022-01-07,200,FALSE,Fire Prevention (4.5),0.0,1.0,44
60007,SECU-1006-ONLINE,,2021-07-05,200,FALSE,Level 2 Security Clearance Awareness,0.0,1.0,45
60229,LGL-1003-ONLINE,,2022-01-11,200,FALSE,Values and Ethics at CNL,0.0,1.0,46
92369,OSH-9104-EXAM (REV.1),1.0,2021-09-15,400,FALSE,Trenching Safety Exam (1.0),0.0,1.0,47
52591,RP-G4-ONLINE,,2021-03-23,200,FALSE,Group 4 Radiation Protection Training,0.0,1.0,48
60193,TD-1016-ONLINE (REV 1.4),1.4,2021-09-20,200,FALSE,Preventing Violence in the Workplace (1.4),0.0,1.0,49
53092,ENG-1069-ONLINE,,2021-11-17,200,FALSE,Fume Hood Safety,0.0,1.0,50
20948,OSH-9076-ONLINE (REV 1),1.0,2021-05-12,400,FALSE,Cost Course - Electric Shock (1.0),0.0,1.0,51
57395,SECU-2008-ONLINE (REV 1.3),1.3,2021-05-31,200,FALSE,Security Awareness Refresher (1.3),0.0,1.0,52
54078,HR-9004,,2022-02-11,400,FALSE,Performance Management: Providing Effective Feedback,0.0,1.0,53
92293,RP-G4-ONLINE,,2021-07-12,200,FALSE,Group 4 Radiation Protection Training,0.0,1.0,54
61699,OSH-1004-ONLINE (REV 1.3),1.3,2022-01-26,200,FALSE,Lock Out Tag Out Exam (1.3),0.0,1.0,55
90445,CNL-1009-ONLINE (REV 1.2),1.2,2021-07-12,200,FALSE,Employee Formal Acknowledgement of CNL Executive Management Directive for COVID-19 and the Face Covering Policy (1.2),0.0,1.0,56
DS::19386,OSH-9050-ONLINE,1.0,2021-10-19,400,FALSE,Lead Awareness,1.0,0.0,57
91640,OSH-9046-ONLINE (REV 1),1.0,2022-01-10,400,FALSE,Cost Course - Hearing Conservation (1.0),0.0,1.0,58
91650,PHAI-1034,,2021-05-06,200,FALSE,Port Hope System Module 2 – SCADA,0.0,1.0,59
90900,RP-5008-CRL (REV 1),1.0,2021-02-23,200,FALSE,R3 Radiation Source Responsible User Update (1.0),0.0,1.0,60
54334,RP-G4-ONLINE (REV 2.7),2.7,2022-03-23,200,FALSE,Group 4 Radiation Protection (2.7),0.0,1.0,61
59444,OSH-9045-ONLINE (REV 1),1.0,2021-07-19,200,FALSE,Cost Course - Hand Safety (1.0),0.0,1.0,62
90711,LGL-1003-ONLINE,,2021-01-18,200,FALSE,Values and Ethics at CNL,0.0,1.0,63
92160,CNL-1009-ONLINE (REV 1.2),1.2,2021-07-12,200,FALSE,Employee Formal Acknowledgement of CNL Executive Management Directive for COVID-19 and the Face Covering Policy (1.2),0.0,1.0,64
92331,RP-G4-ONLINE (REV 2.6),2.6,2021-12-10,400,FALSE,Group 4 Radiation Protection (2.6),0.0,0.0,65
52863,FIRE-1001-ONLINE (REV 4.4),4.4,2021-02-22,200,FALSE,Fire Prevention (4.4),0.0,1.0,66
