,Missing Learners
0,90525
1,CONT-2835
2,CONT-3170 
3,60266
4,90295
5,20303
6,92360
7,60036
8,92422
9,92159
10,92114
11,CONT-2746
12,92199
13,92399
14,10474
15,CONT-3121
16,CONT-2863 
17,92023
18,CONT-2865 
19,CONT-3219
20,91987
21,92009
22,56663
23,61291
24,AE00081
25,CONT-3094
26,92331
27,92207
28,900
29,CONT-3017
30,92570
31,92475
32,CONT-2927 
33,CONT-2833
34,61072
35,92118
36,92057
37,91837
38,CONT-3084
39,92327
40,91776
41,92583
42,55737
43,90977
44,91860
45,92544
46,20568
47,61028
48,CONT-3110
49,92585
50,CONT-2987
51,91816
52,AE00084
53,56973
54,CONT-277
55,CONT-2912
56,90550
57,CONT-3171 
58,CONT-2906
59,91946
60,CONT-2963
61,CONT-2771  
62,92380
63,92429
64,Seat 1
65,CONT-3050
66,91830
67,57685
68,CONT-2740
69,AE00087
70,50874
71,CONT-1861  
72,CONT-2978
73,91693
74,92566
75,91736
76,91796
77,95075
78,61524
79,55935
80,61319
81,92366
82,2570
83,58331
84,90833
85,CONT-3166 
86,53716
87,92378
88,91461
89,92106
90,DS::1720 
91,95070
92,20076
93,90605
