LEARNER,COURSE,COURSE_VERSION,COMPLETION_DATE,COMPLETION_STATUS,CREATE_ADHOC_COURSE,COURSE_TITLE,ID
10034,EMP-1036,0.2,2022-03-08,200,FALSE,Emergency Procedure Refresher (0.2),0
10034,EMP-1036,1.0,2022-03-08,200,FALSE,Emergency Procedure Refresher,1
10083,HR-1005,1.0,2021-11-22,200,FALSE,Virtual Mandatory Harassment and Violence Prevention Training,2
10083,RP-G2M2B-WL,1.0,2021-03-04,200,FALSE,Group 2 - Module 2B WL,3
10083,WL-307,1.0,2021-04-13,400,FALSE,Job Safety Analysis,4
10083,WL-315,1.0,2021-03-16,400,FALSE,Respectful Work Place,5
10083,ENG-1002,1.0,2021-03-15,200,FALSE,Reduced Risk Engineering Change (RREC),6
10083,HR-1005,1.0,2021-11-22,200,FALSE,Mandatory Harassment and Violence Prevention Training,7
10083,MS-1004-WL,1.0,2021-04-20,200,FALSE,Integrated Work Control 5 Core Elements,8
10083,RP-G2M2B-WL,1.0,2021-03-04,200,FALSE,Group 2 - Module 2B WL,9
10083,WL-168,1.0,2021-04-29,200,FALSE,Waste Management & Packaging Fundamentals Combined,10
10083,WL-305,1.0,2021-04-20,200,FALSE,Stop Work,11
10083,WL-306,1.0,2021-04-20,200,FALSE,Pre Job Brief,12
10083,WL-306,1.0,2021-03-03,200,FALSE,Pre Job Brief,13
10083,WL-308,1.0,2021-04-20,200,FALSE,Integrated Work Control,14
10034,HR-1005,1.0,2021-12-20,200,FALSE,Virtual Mandatory Harassment and Violence Prevention Training,15
10034,HR-1005,1.0,2021-12-20,200,FALSE,Mandatory Harassment and Violence Prevention Training,16
10083,TD-2000-WL,1.0,2021-09-15,200,FALSE,GET General Employee Training,17
10083,WL-304,1.0,2021-03-30,200,FALSE,Work Permit Authorization Process,18
10083,WL-305,1.0,2021-03-03,200,FALSE,Stop Work,19
10083,WL-307,1.0,2021-03-01,400,FALSE,Job Safety Analysis,20
10083,WL-307,1.0,2021-04-20,200,FALSE,Job Safety Analysis,21
10083,WL-315,1.0,2021-03-16,200,FALSE,Respectful Work Place,22
10083,WL-318,1.0,2021-03-23,400,FALSE,Return to Work Radiation Protection Training for Non-Radiation Protection Workers,23
10083,RP-G2M1-WL,1.0,2021-03-04,200,FALSE,Group 2 Module 1 WL,24
10083,TD-2000-WL,1.0,2021-09-14,400,FALSE,GET General Employee Training,25
10083,WL-315,1.0,2021-03-16,200,FALSE,Respectful Work Place,26
10083,SECU-2029,1.0,2021-08-30,200,FALSE,Security Awareness Refresher,27
10153,EMP-1036,1.0,2022-01-12,200,FALSE,Emergency Procedure Refresher,28
10153,FIRE-1001-ONLINE,4.7,2021-04-01,200,FALSE,Fire Prevention,29
10153,SECU-2029,1.0,2021-04-01,200,FALSE,Security Awareness Refresher,30
10083,ENG-1002,1.0,2021-03-15,200,FALSE,WHITESHELL Reduced Risk Engineering Change (RREC),31
10083,TD-2000-WL,1.0,2021-09-14,400,FALSE,GET General Employee Training,32
