"Title","Version","Course ID",
"100035-IBM Cognos Analytics Advanced (Cost Course)","1.0","IT-9050",
"100035-IBM Cognos Analytics Fundamentals (Cost Course)","1.0","IT-9049",
"10 Commandments of Training","1.0","TD-1048",
"12 GA Shotgun","1.0","SECU-3015",
"5S Methodology (Cost Course)","1","PI-9006-ONLINE",
"5S Methodology (Cost Course)","1.0","PI-9006-ONLINE",
"ABE Evaporator Troubleshooting","1.0","PHAI-1023",
"Accountability 1 - Theory","1.0","FIRE-1005-CRL",
"Accountability 2 Practical","1.0","FIRE-3005-CRL",
"Accountability and Oversight","1.0","Z2R-113",
"Accounting for Stress - A Balancing Act","1.0","OSH-1044",
"AC Motor Operations and Types (Cost Course)","1","OPS-9021-ONLINE",
"AC Motor Operations and Types (Cost Course)","1.0","OPS-9021-ONLINE",
"Activist Extremist Intervention","1.0","SECU-1051",
"Adult Learning  (Cost Course)","1","TD-9053-ONLINE",
"Adult Learning  (Cost Course)","1.0","TD-9053-ONLINE",
"Advanced Fire Dynamics Simulator - Pyrosim (Cost Course)","1.0","FIRE-9011",
"Advanced ISOCs Training (Cost Course)","1.0","IT-9031",
"Advanced Project Management - Part 2 (Cost Course)","1.0","PMO-9025",
"Advanced Rigger","1.0","OSH-1040",
"AECL Hazard Prevention Program","3.1","AECL-1002-ONLINE",
"Aerial Platform - Generic Practical","1.0","OSH-3003-OLD",
"Aerial Platform - Theory","1.0","OSH-1003",
"Aerial Work Platform - Articulating Boom 85 ft or less","1.0","OSH-3003-F",
"Aerial Work Platform Practical - Articulating Boom 135 ft","1.0","OSH-3003-A",
"Aerial Work Platform Practical - Articulating Boom 60 ft (or less)","1.0","OSH-3003-B",
"Aerial Work Platform Practical - Rough Terrain Scissor Lift","1.0","OSH-3003-C",
"Aerial Work Platform Practical - Scissor Lift","1.0","OSH-3003-D",
"Aerial Work Platform Safety for Non-operators (Cost Course)","1.1","OSH-9063-ONLINE",
"Aerial Work Platform Theory","1.6","OSH-1003-ONLINE",
"Agile Training","1.0","IT-1017",
"AHERA Building Inspector Course for Asbestos (Cost Course)","1.0","OSH-9015",
"Air Balancing of Systems (OJT)","1.0","MAINT-3001",
"Air Monitoring System for WLSF","1.0","WLSF-MLD-002",
"Air Monitoring System  (WLSF-101207-OJTA-001)","1.0","WLSF-OJT-002B",
"Air Monitoring System  (WLSF-101207-OJTN-001)","1.0","WLSF-OJT-002A",
"Air Supplied Suit Operation","1.0","RP-MISC-39",
"ALARA Review and Assessment, PHAI and Radiological Work Permit Process Awareness","1.0","PHAI-1063",
"Alpha Awareness","1","FD-1004-ONLINE",
"Alpha Awareness","1.0","FD-1004-ONLINE",
"AMBER Training (Cost Course)","1.0","ENG-9023",
"Analysis using a pH Meter","1.0","WMA-3005",
"Annunciation System for WLSF","1.0","WLSF-MLD-003",
"Annunciation System (WLSF-60300-OJTA-001)","1.0","WLSF-OJT-003A",
"Annunciation System  (WLSF-60300-OJTN-001)","1.0","WLSF-OJT-003B",
"ANSYS FEA (Cost Course)","1.0","ENG-9019",
"Ansys Fluent (Cost Course)","1.0","RD-9004",
"ANSYS Space Claim (Cost Course)","1.0","ENG-9020",
