,Missing Learners
0,92378
1,CONT-2916
2,92023
3,92658
4,CONT-3083
5,CONT-3014
6,92087
7,92036
8,CONT-2762 
9,92043
10,91848
11,52686
12,61524
13,CN85043
14,CONT-3087
15,DS::19386
16,92188
17,95075
18,61319
19,91461
20,10654
21,58331
22,92242
23,91796
24,CONT-3224 
25,92164
26,91635
27,91214
28,60803
29,92585
30,CONT-3082
31,95069
32,90295
33,CONT-3220
34,91398
35,92388
36,91306
37,CONT-2844
38,91971
39,20568
40,CONT-2810
41,CONT-3158
42,92167
43,91141
44,92570
45,90998
46,92203
47,92657
48,92659
49,92344
50,CONT-3104
51,CONT-2963
52,CONT-2806 
53,92476
54,91653
55,50583
56,92055
57,92025
58,92586
59,60888
60,60038
61,92153
62,92292
63,61028
64,92187
65,95060
66,CONT-2135
67,92106
68,CONT-3099
69,CONT-2899
70,92168
71,91320
72,92118
73,56663
74,92429
75,CONT-3208 
76,CONT-2987
