LEARNER,COURSE,COURSE_VERSION,COMPLETION_DATE,COMPLETION_STATUS,CREATE_ADHOC_COURSE,COURSE_TITLE,COURSE_GOOD,PERSON_GOOD,ID
56466,LGL-1003-ONLINE (REV 3.0),3.0,2021-10-27,400,FALSE,Values and Ethics at CNL (3.0),0.0,1.0,0
10735,WL-308,1.0,2021-01-19,200,FALSE,Integrated Work Control,1.0,0.0,1
54696,OSH-9058-ONLINE (REV 1),1.0,2021-03-31,200,FALSE,Cost Course - Compressed Gas Cylinder Safety (1.0),0.0,1.0,2
60088,OSH-9045-ONLINE (REV 1),1.0,2021-08-17,200,FALSE,Cost Course - Hand Safety (1.0),0.0,1.0,3
50978,FIRE-1001-ONLINE (REV 4.4),4.4,2021-03-19,200,FALSE,Fire Prevention (4.4),0.0,1.0,4
57857,OSH-3001-J,,2021-01-26,200,FALSE,Crane - Safe Indoor Hoist - Practical - Gantry Crane,0.0,1.0,5
58368,CNL-1009-ONLINE (REV 1. 3),1.3,2021-08-30,200,FALSE,Employee Formal Acknowledgement of CNL Executive Management Directive for COVID-19 and the Face Covering Policy (1.3),0.0,0.0,6
59801,EMP-1037-ONLINE (REV 0.1),0.1,2022-01-18,200,FALSE,Emergency Procedure Refresher (0.1),0.0,1.0,7
91948,OSH-9045-ONLINE (REV 1),1.0,2021-09-16,400,FALSE,Cost Course - Hand Safety (1.0),0.0,1.0,8
54642,LGL-1003-ONLINE (REV 3.1),3.1,2021-11-19,200,FALSE,Values and Ethics at CNL (3.1),0.0,1.0,9
90328,WL-FIRE-015,,2021-09-11,200,FALSE,ESO FIRE - MASTER STREAMS,0.0,1.0,10
58010,OSH-1001-ONLINE (REV 1.4),1.4,2022-01-10,200,FALSE,Crane - Safe Indoor Hoist - Theory (1.4),0.0,1.0,11
20980,LGL-1003-ONLINE,,2021-09-15,200,FALSE,Values and Ethics at CNL,0.0,1.0,12
92153,TD-9030-ONLINE (REV 1.3),1.3,2021-05-20,200,FALSE,Harassment Prevention (1.3),0.0,0.0,13
92290,HR-1005,1.0,2021-11-23,200,FALSE,Mandatory Harassment and Violence Prevention Training,1.0,0.0,14
59346,EMP-1037-ONLINE (REV 0),0.0,2022-01-12,200,FALSE,Emergency Procedure Refresher (0.0),0.0,1.0,15
90551,RP-G2-REFRESHER-ONLINE (REV 1.9),1.9,2021-08-17,200,FALSE,Group 2 Refresher (1.9),0.0,0.0,16
56075,SECU-2008-ONLINE (REV 1.0),1.0,2021-04-08,200,FALSE,Security Awareness Refresher (1.0),0.0,1.0,17
10843,SECU-1006-ONLINE (REV 2.6),2.6,2021-04-20,200,FALSE,Level 2 Security Clearance Awareness (2.6),0.0,1.0,18
91536,SECU-1001-ONLINE (REV 1.3),1.3,2021-01-31,200,FALSE,Continuous Behaviour Observation Program (CBOP) (1.3),0.0,0.0,19
92275,OSH-1005-ONLINE (REV 1.4),1.4,2021-07-05,200,FALSE,Working At Heights Theory (1.4),0.0,1.0,20
58560,LGL-1003-ONLINE (REV 2.5),2.5,2021-02-24,200,FALSE,Values and Ethics at CNL (2.5),0.0,1.0,21
91585,LGL-1003-ONLINE (REV 3.3),3.3,2022-04-09,200,FALSE,Values and Ethics at CNL (3.3),0.0,1.0,22
59718,LGL-1003-ONLINE,,2022-01-11,200,FALSE,Values and Ethics at CNL,0.0,1.0,23
95069,TD-1001,1.0,2022-04-18,200,FALSE,Employee Orientation - Site Requirements Onboarding,1.0,0.0,24
90816,LGL-1003-ONLINE,,2022-02-23,200,FALSE,Values and Ethics at CNL,0.0,1.0,25
54681,SECU-2008-ONLINE (REV 1.0),1.0,2021-04-07,200,FALSE,Security Awareness Refresher (1.0),0.0,1.0,26
91778,RP-4006-CRL,,2021-09-27,200,FALSE,CRL Group 1 Radiation Surveyor Qualification TQC,0.0,0.0,27
92092,LGL-1003-ONLINE (REV 2.5),2.5,2021-03-23,200,FALSE,Values and Ethics at CNL (2.5),0.0,1.0,28
90517,LGL-1003-ONLINE,,2021-04-29,200,FALSE,Values and Ethics at CNL,0.0,1.0,29
92118,RP-G3-FCO,1.0,2021-05-18,200,FALSE,Group 3 Practical Field Checkout,1.0,0.0,30
92617,TD-1018-ONLINE (REV 1.9),1.9,2022-01-24,200,FALSE,CNL General Safety Orientation (1.9),0.0,1.0,31
58149,NMMS-1010-ONLINE,,2021-07-22,200,FALSE,Nuclear Criticality Safety for Emerg Responders R1,0.0,1.0,32
59348,RP-1011-CRL-ONLINE (REV 1.2),1.2,2021-01-15,200,FALSE,Transfer and Storage of RAM- Tag Update Training (1.2),0.0,1.0,33
56388,LGL-1003-ONLINE (REV 2.5),2.5,2021-05-06,200,FALSE,Values and Ethics at CNL (2.5),0.0,1.0,34
56047,FIN-1004-ONLINE (REV 1),1.0,2021-03-03,200,FALSE,Financial Delegation Of Authority (1.0),0.0,1.0,35
91670,OSH-9045-ONLINE (REV 1),1.0,2021-07-21,200,FALSE,Cost Course - Hand Safety (1.0),0.0,1.0,36
92606,TD-1018-ONLINE (REV 1.9),1.9,2022-01-24,200,FALSE,CNL General Safety Orientation (1.9),0.0,1.0,37
95045,OSH-1034-ONLINE (REV 1.5),1.5,2022-03-21,200,FALSE,Hazard Prevention Program (1.5),0.0,1.0,38
92295,OSH-1006-VIRTUAL,,2021-08-25,200,FALSE,Confined Space Entry (Virtual),0.0,1.0,39
92102,OPS-9009-ONLINE (REV 1),1.0,2021-10-26,200,FALSE,Cost Course - Pump Types and Applications (1.0),0.0,1.0,40
90754,LGL-1003-ONLINE,,2022-01-10,200,FALSE,Values and Ethics at CNL,0.0,1.0,41
20973,FIRE-1001-ONLINE (REV 4.4),4.4,2021-03-23,200,FALSE,Fire Prevention (4.4),0.0,1.0,42
52612,LGL-1003-ONLINE (REV 3.2),3.2,2022-01-04,200,FALSE,Values and Ethics at CNL (3.2),0.0,1.0,43
90669,OSH-9050-ONLINE (REV 1),1.0,2021-10-29,200,FALSE,Cost Course - Lead Awareness (1.0),0.0,1.0,44
55424,ERM-1001-ONLINE (REV 1.3),1.3,2021-04-29,200,FALSE,Cleanup Function Overview (1.3),0.0,1.0,45
57349,OSH-1004-ONLINE (REV 1.1),1.1,2021-03-01,200,FALSE,Lock Out Tag Out Exam (1.1),0.0,1.0,46
92116,RP-G4-ONLINE (REV 2.7),2.7,2021-05-03,200,FALSE,Group 4 Radiation Protection (2.7),0.0,1.0,47
10792,OSH-9045-ONLINE (REV 1),1.0,2021-11-15,200,FALSE,Cost Course - Hand Safety (1.0),0.0,1.0,48
92026,OSH-1006-ONLINE (REV 1.1),1.1,2021-05-13,200,FALSE,Confined Space Exam (1.1),0.0,1.0,49
91748,RP-5009-CRL,,2022-03-28,200,FALSE,Radiation Protection Limits and Levels,0.0,1.0,50
53598,TDG-1003-C-EXAM (REV 1.2),1.2,2021-03-03,200,FALSE,TDG Class 7 Radioactive Material - Carrier (R3) Exam (1.2),0.0,1.0,51
57858,OSH-1005-ONLINE (REV 1.7),1.7,2022-04-04,200,FALSE,Working At Heights Theory (1.7),0.0,1.0,52
59944,SECU-1006-ONLINE (REV 2.4),2.4,2021-01-05,200,FALSE,Level 2 Security Clearance Awareness (2.4),0.0,1.0,53
92064,RP-G4-ONLINE,,2021-03-17,200,FALSE,Group 4 Radiation Protection Training,0.0,1.0,54
92526,OSH-1005-ONLINE (REV 1.7),1.7,2022-01-11,200,FALSE,Working At Heights Theory (1.7),0.0,0.0,55
90088,ERM-1004-ONLINE  (REV 1.2),1.2,2022-04-07,200,FALSE,Decommissioning and Demolition Program Awareness (1.2),0.0,1.0,56
55188,RP-G4-ONLINE,,2022-02-28,200,FALSE,Group 4 Radiation Protection Training,0.0,1.0,57
889,FIRE-1001-ONLINE (REV 4.5),4.5,2021-11-23,200,FALSE,Fire Prevention (4.5),0.0,1.0,58
92350,OSH-9102-ONLINE (REV. 1.0),1.0,2021-08-25,400,FALSE,Cost Course - Crystalline Silica Awareness (1.0),0.0,1.0,59
91219,OSH-1004,1.0,2021-01-14,200,FALSE,Lock Out / Tag Out,1.0,0.0,60
58163,ENG-1069-ONLINE (REV 0.1),0.1,2021-10-01,200,FALSE,Fume Hood Safety (0.1),0.0,1.0,61
92304,SECU-1008-ONLINE (REV 3.9),3.9,2021-07-30,200,FALSE,Security Awareness (3.9),0.0,1.0,62
92525,OSH-1004-ONLINE (REV 1.3),1.3,2022-02-02,200,FALSE,Lock Out Tag Out Exam (1.3),0.0,1.0,63
58278,RP-G4-ONLINE (REV 2.7),2.7,2022-03-23,200,FALSE,Group 4 Radiation Protection (2.7),0.0,1.0,64
91425,OSH-9050-ONLINE (REV 1),1.0,2022-03-03,200,FALSE,Cost Course - Lead Awareness (1.0),0.0,1.0,65
92213,OSH-1004-ONLINE,,2021-07-12,200,FALSE,Lock Out Tag Out Exam,0.0,1.0,66
57790,OSH-9021,,2021-12-06,400,FALSE,Boosting Your Positive Outlook,0.0,1.0,67
92291,900-510000-MCP-015,,2021-07-15,200,FALSE,Harassment and Violance Free Workplace,0.0,1.0,68
61106,LGL-1003-ONLINE,,2021-05-07,200,FALSE,Values and Ethics at CNL,0.0,1.0,69
56205,LGL-1003-ONLINE,,2022-02-10,200,FALSE,Values and Ethics at CNL,0.0,1.0,70
92118,ENG-1069-ONLINE,,2021-10-05,200,FALSE,Fume Hood Safety,0.0,0.0,71
92156,RP-G4-ONLINE (REV 2.6),2.6,2021-05-03,200,FALSE,Group 4 Radiation Protection (2.6),0.0,1.0,72
59484,OSH-3001-L,,2021-04-13,200,FALSE,Crane - Safe Indoor Hoist - Practical - Hoist Only,0.0,1.0,73
92302,LGL-1003-ONLINE (REV 2.5),2.5,2021-07-15,200,FALSE,Values and Ethics at CNL (2.5),0.0,1.0,74
20934,SECU-2008-ONLINE (REV 1.0),1.0,2021-04-19,200,FALSE,Security Awareness Refresher (1.0),0.0,1.0,75
91984,HR-1005,1.0,2021-11-29,400,FALSE,Virtual Mandatory Harassment and Violence Prevention Training,1.0,0.0,76
56239,OSH-1004-ONLINE (REV 1.3),1.3,2022-01-10,200,FALSE,Lock Out Tag Out Exam (1.3),0.0,1.0,77
91158,ESO-SECU-002,,2021-07-06,200,FALSE,ESO Carbine Operator Recertification,0.0,1.0,78
54782,OSH-1004-ONLINE (REV 1.1),1.1,2021-01-13,200,FALSE,Lock Out Tag Out Exam (1.1),0.0,1.0,79
CONT-2859,RP-G4-E-WL,1.0,2021-05-03,200,FALSE,RP Group 4 Enhanced WL,1.0,0.0,80
59526,TEST-2019-WM (REV 1.0),1.0,2021-11-12,200,FALSE,TEST-2019-WM (1.0),0.0,1.0,81
91495,OPEX-1005-ONLINE (REV 1.4),1.4,2021-05-20,200,FALSE,Introducing the ImpAct Process at CNL (1.4),0.0,1.0,82
91635,HU-1038,1.0,2021-06-01,400,FALSE,(NEO) VIRTUAL Human Performance Awareness - Fundamentals and Nuclear Safety Culture,1.0,0.0,83
60306,RP-G4-ONLINE (REV 2.7),2.7,2021-12-14,200,FALSE,Group 4 Radiation Protection (2.7),0.0,1.0,84
20315,RP-G4-ONLINE,,2021-01-12,200,FALSE,Group 4 Radiation Protection Training,0.0,1.0,85
91719,HR-1005,1.0,2021-12-16,200,FALSE,Virtual Mandatory Harassment and Violence Prevention Training,1.0,0.0,86
1422,NMMS-2002-ONLINE (REV 3.6),3.6,2022-02-04,200,FALSE,Nuclear Criticality Safety Refresher (3.6),0.0,1.0,87
58021,OSH-1001-ONLINE (REV 1.),1.1,2021-01-12,200,FALSE,Crane - Safe Indoor Hoist - Theory (1.1),0.0,1.0,88
90551,MS-3001-ONLINE (REV 1.1),1.1,2021-02-24,200,FALSE,Integrated Work Control Practical Applications Exam (1.1),0.0,0.0,89
60322,WL-202,,2021-08-25,200,FALSE,Respirator Fit Test,0.0,1.0,90
61839,LGL-1003-ONLINE (REV 2.2),2.2,2021-01-20,200,FALSE,Values and Ethics at CNL (2.2),0.0,1.0,91
60009,OSH-1005-ONLINE (REV 1.6),1.6,2021-11-23,200,FALSE,Working At Heights Theory (1.6),0.0,1.0,92
92262,OSH-1042-ONLINE (REV 12.4),12.4,2021-06-30,200,FALSE,WHMIS - 2015 (12.4),0.0,1.0,93
61734,OSH-1001-ONLINE (REV 1.4),1.4,2022-04-18,200,FALSE,Crane - Safe Indoor Hoist - Theory (1.4),0.0,1.0,94
2570,NMMS-1002,1.0,2021-07-07,400,FALSE,VIRTUAL Nuclear Criticality Safety,1.0,0.0,95
92086,FIRE-1001-ONLINE,4.7,2021-05-04,200,FALSE,Fire Prevention,1.0,0.0,96
92561,RP-G4-ONLINE (REV 2.6),2.6,2022-01-11,200,FALSE,Group 4 Radiation Protection (2.6),0.0,1.0,97
59880,SECU-2008-ONLINE (REV 1.0),1.0,2021-04-07,200,FALSE,Security Awareness Refresher (1.0),0.0,1.0,98
53399,IT-9040-ONLINE (REV 1),1.0,2021-08-17,400,FALSE,Insider Threat Overview (1.0),0.0,1.0,99
92352,TD-1016-ONLINE,,2021-08-24,200,FALSE,Preventing Violence in the Workplace,0.0,1.0,100
54013,FIN-1004-ONLINE (REV 1),1.0,2021-11-25,200,FALSE,Financial Delegation Of Authority (1.0),0.0,1.0,101
90480,HR-9003,,2021-06-03,200,FALSE,Performance Management: Goal Setting,0.0,1.0,102
92427,LGL-1003-ONLINE (REV 3.2),3.2,2021-12-13,200,FALSE,Values and Ethics at CNL (3.2),0.0,1.0,103
27607,NMMS-1010-ONLINE,,2021-04-26,200,FALSE,Nuclear Criticality Safety for Emerg Responders R1,0.0,1.0,104
52958,OSH-1102-ONLINE (REV 1.1),1.1,2021-07-19,200,FALSE,Crystalline Silica Awareness Training: Part Two (1.1),0.0,1.0,105
52573,LGL-1003-ONLINE (REV 3.1),3.1,2021-11-23,200,FALSE,Values and Ethics at CNL (3.1),0.0,1.0,106
59016,SECU-1064,,2021-02-25,200,FALSE,Public Agent Card Renewal,0.0,1.0,107
56412,RP-G4-ONLINE,,2021-07-14,200,FALSE,Group 4 Radiation Protection Training,0.0,1.0,108
59948,SL-9002,,2021-10-21,200,FALSE,COST COURSE $1867/Person Nuclear Safety & Control Regulations and Act COG Training,0.0,1.0,109
92379,OSH-1042-ONLINE (REV 12.4),12.4,2021-09-07,200,FALSE,WHMIS - 2015 (12.4),0.0,0.0,110
