LEARNER,COURSE,COURSE_VERSION,COMPLETION_DATE,COMPLETION_STATUS,CREATE_ADHOC_COURSE,COURSE_TITLE,ID
90413,WL-306,1.0,2021-05-11,200,FALSE,Pre Job Brief,0
92370,TD-1018-ONLINE,1.9,2021-09-07,200,FALSE,CNL General Safety Orientation,1
58525,HR-1005,1.0,2021-11-22,400,FALSE,Virtual Mandatory Harassment and Violence Prevention Training,2
61137,FIRE-1001-ONLINE,4.7,2021-03-16,200,FALSE,Fire Prevention,3
54023,WL-307,1.0,2021-03-04,200,FALSE,Job Safety Analysis,4
59308,OSH-9026,1.0,2021-05-27,200,FALSE,Cost Course $220.05/Per Person - Federal Committees and Representatives Training,5
92116,OSH-9064,1.0,2021-09-21,200,FALSE,Cost Course - $166/Person - Electrical Safety Awareness – Hydrovac,6
91855,OSH-3005,1.0,2021-07-20,200,FALSE,Working at Heights Practical,7
61234,FIN-1004-ONLINE,1.0,2022-03-28,200,FALSE,Financial Delegation Of Authority,8
60486,WL-303,1.0,2021-01-18,200,FALSE,International Leadership Training,9
60903,PMO-9021,1.0,2021-09-17,200,FALSE,Cost Course - $2616/person - VIRTUAL - Project Management Professional (PMP) Certification Exam Preparation (Bootcamp),10
60076,RP-G2,1.0,2022-01-27,400,FALSE,Group 2 Radiation Protection,11
91286,OSH-1042-ONLINE,12.5,2022-03-08,200,FALSE,WHMIS - 2015,12
58177,TD-2000-WL,1.0,2021-09-02,200,FALSE,GET General Employee Training,13
95042,MAINT-9001,1.0,2022-03-29,200,FALSE,Cost Course - $200/person (MAX) - Lokring Installer,14
10717,WL-308,1.0,2021-02-10,200,FALSE,Integrated Work Control,15
60193,RP-G3,1.0,2021-04-01,400,FALSE,Group 3 - Radiation Protection Training,16
90201,HR-1005,1.0,2021-11-10,200,FALSE,Virtual Mandatory Harassment and Violence Prevention Training,17
90511,OSH-1004-VIRTUAL,1.0,2021-05-27,400,FALSE,VIRTUAL Cost Course - $222/Person - Lock Out / Tag Out,18
91779,FD-1001-ONLINE,1.1,2022-01-25,200,FALSE,Decommissioning Process Awareness Training for Employees,19
91136,SECU-3002,1.0,2021-02-12,200,FALSE,Firearms Authorised Verifier,20
90669,OSH-9070-ONLINE,1.0,2021-10-29,400,FALSE,Arc Flash Safety for Canada,21
91153,OSH-9045-ONLINE,1.0,2021-07-19,200,FALSE,Hand Safety,22
53569,HR-1004,1.0,2021-06-10,200,FALSE,Managing Alcohol and Drug Use,23
60276,EMP-1036,1.0,2022-03-28,200,FALSE,Emergency Procedure Refresher,24
90655,OSH-1003-ONLINE,1.6,2021-07-28,200,FALSE,Aerial Work Platform Theory,25
59627,OSH-9076-ONLINE,1.0,2021-05-11,200,FALSE,Electric Shock,26
91158,FIRE-1001-ONLINE,4.7,2022-03-10,200,FALSE,Fire Prevention,27
59124,RP-5008-CRL,1.0,2021-04-23,200,FALSE,R3 Radiation Source Responsible User Update,28
60298,ENG-1001,1.0,2021-01-21,200,FALSE,Eng. Change Control: Engineering/Operations,29
60980,RP-G2M1-WL,1.0,2021-03-03,200,FALSE,Group 2 Module 1 WL,30
57857,OSH-3002-D,1.0,2021-01-26,200,FALSE,Lift Truck Practical - Non-Electric Pallet Jack and Material Lift,31
92609,FIRE-1001-ONLINE,4.7,2022-01-24,400,FALSE,Fire Prevention,32
53522,SECU-3031,1.0,2021-06-14,200,FALSE,Secondary Firearm Qualification (Sig Sauer P226),33
60753,IT-1019,1.0,2021-07-07,200,FALSE,EDMS System Overview,34
90567,WL-305,1.0,2021-02-09,200,FALSE,Stop Work,35
92465,FIRE-3001,1.0,2021-11-29,200,FALSE,Fire Extinguisher - Practical,36
53052,ERM-1002,1.0,2021-07-27,200,FALSE,Land Use Program (LUP) Awareness,37
59698,OSH-1005-ONLINE,1.7,2022-04-07,200,FALSE,Working At Heights Theory,38
56597,SECU-2029,1.0,2021-04-20,200,FALSE,Security Awareness Refresher,39
52086,OSH-1004-VIRTUAL,1.0,2022-01-26,200,FALSE,WS BLOCK - Cost Course - $222/Person - Lock Out / Tag Out (Virtual),40
20540,EMP-1036,1.0,2022-01-13,200,FALSE,Emergency Procedure Refresher,41
91559,WL-315,1.0,2021-03-16,200,FALSE,Respectful Work Place,42
60062,HR-1005,1.0,2021-12-20,200,FALSE,Mandatory Harassment and Violence Prevention Training,43
60822,WL-306,1.0,2022-02-14,200,FALSE,Pre Job Brief,44
59148,WL-305,1.0,2021-03-03,200,FALSE,Stop Work,45
55480,OSH-3005,1.0,2022-04-13,200,FALSE,Working at Heights Practical,46
92021,PHAI-1001,1.0,2021-03-05,200,FALSE,Employee Orientation - PHAI MO,47
